OBJECTID,CommunityName,IncorporationType,IncorporationYear,LatestChangeYear,SourceNote,IsActive,GISSqMi,last_edited_user,last_edited_date,created_user,created_date,NameAlt,CommunityID,Shape.STArea(),Shape.STLength()
1,Cold Bay,2nd Class City,1981,1982,,1,68.1,,,,,,{E5A46A8B-30C9-4FDF-A19D-A6A96277A26C},176265195.5359593,77959.13400975948
5,Port Lions,2nd Class City,1966,1983,,1,8.7,,,,,,{DDC4A50C-4C3E-4DEF-B660-9185BACAD8C5},22612500.37801436,21690.777282076906
6,Aleknagik,2nd Class City,1973,2000,,1,43.5,,,,,,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},112723304.06391814,54227.98763337156
7,Pelican,1st Class City,1943,1987,,1,0.6,,,,,,{ED8A6F74-E397-4BA1-8052-EEF92A6C4F8B},1591255.684405675,6754.583660969459
10,Kasaan,2nd Class City,1976,1976,,1,6.8,,,,,,{559A9BCF-E97B-4506-925E-E21FB8E9FED9},17608486.34251098,21620.517330967064
11,Galena,1st Class City,1971,1985,,1,24.5,,,,,,{9CB98028-F75A-4D46-A951-AB787D2CF82E},63472865.61848667,38385.59713766696
13,Bethel,2nd Class City,1957,1967,,1,50.1,,,,,,{7B1302D1-C2B4-402C-8C43-141B93681692},129791652.8516278,46265.41898072325
14,Atqasuk,2nd Class City,1982,1982,,1,42.7,,,,,,{A79A606F-AA69-4994-A5A0-5E8AFE9EBA9A},110673751.12535018,46533.01070623088
16,Valdez,Home Rule City,1901,1970,,1,271.9,,,,,,{BDF957A0-FB1E-48AC-835A-A24FB2DFE444},704191468.8733317,146948.25322967078
18,Hooper Bay,2nd Class City,1966,1966,,1,7.5,,,,,,{8D01840C-135C-49A1-A1FE-5C63881EEF8A},19498455.350229416,28117.061541084095
19,Nightmute,2nd Class City,1974,1974,Legal overlaps earlier Toksook Bay Incorporation of 1972 by ~.6sq mi. GIS representation truncated to match Toksook Bay,1,103.7,MWO,1736845200000,,,,{A83F4C9F-FA93-4FC6-974A-39BA917BA023},268661640.5171314,72035.26946351619
21,Alakanuk,2nd Class City,1969,1981,,1,41.8,,,,,,{8142710A-7405-430F-9A0B-C44338B4B31A},108252691.17276844,48066.62242405927
22,Cordova,Home Rule City,1909,1993,,1,75.1,,,,,,{3921BE55-50DD-4433-8958-D5D2F2D001AE},194637043.8672966,83835.73416856852
23,Anaktuvuk Pass,2nd Class City,1957,1959,,1,5.2,,,,,,{C8F22DE3-2D24-49CD-A867-3855226D712F},13537589.10599383,14722.115144885356
24,Shaktoolik,2nd Class City,1969,1969,,1,1.0,,,,,,{CEDC63C2-3647-4702-B72B-D9E842E711FE},2712803.636908545,19010.967393938245
25,Tenakee Springs,2nd Class City,1971,1971,,1,17.9,,,,,,{E49E42CA-BF94-44E1-9650-6B93C551222E},46378982.68070443,38420.27146527273
27,Napaskiak,2nd Class City,1971,1971,,1,3.2,,,,,,{6D864316-582B-4749-A178-D9BAD04003D1},8218184.498601835,12468.444777472056
29,Stebbins,2nd Class City,1969,1970,,1,35.5,,,,,,{28ACD99B-0BF6-4373-A5BA-4F063E34485C},91917051.59059212,55485.01840710137
31,Aniak,2nd Class City,1972,1989,,1,8.5,,,,,,{4D22DC8A-9F5A-4C83-B835-F1133D6A8060},21949128.92945535,20863.761511087137
32,Chignik,2nd Class City,1983,1983,,1,15.9,,,,,,{99F023D0-9290-48CE-8E68-5683A57192DC},41055777.450032726,26066.734477527414
33,McGrath,2nd Class City,1975,1975,,1,47.9,,,,,,{44BA33DB-984D-44E1-BF2D-7E1A353E586D},124167463.86934245,45013.833598454316
35,Mekoryuk,2nd Class City,1969,1969,,1,7.1,,,,,,{06A5691A-049B-426D-85BC-73439735D4DB},18302317.138483386,31212.365455862706
36,Kupreanof,2nd Class City,1975,1975,,1,4.6,,,,,,{3F03290E-B081-4B92-9E0F-33F6E0CD513B},12037797.98418104,20601.648022329642
37,Pilot Station,2nd Class City,1969,1969,,1,1.9,,,,,,{E1D5467A-F8D6-443B-B722-DE5C4F46B5F8},4871181.386985315,9753.861761512046
38,Whittier,2nd Class City,1969,1973,,1,19.6,,,,,,{52F6D695-370B-4814-8DA9-00DCC073CA83},50856730.36999106,36775.158891116494
39,Shageluk,2nd Class City,1970,1970,,1,11.5,,,,,,{C1B6F29B-4A04-42DE-9F90-6F108C6C13A9},29783838.2828448,24154.03519753674
40,Old Harbor,2nd Class City,1966,1966,,1,22.6,,,,,,{126AE679-2933-4FD0-B985-FB1844FFBCA3},58504080.79547246,34273.51023893379
42,Nikolai,2nd Class City,1970,1970,,1,4.7,,,,,,{A9A591D6-DAB0-4694-9B95-1A56A7F5914D},12175126.750510525,14006.524354678982
43,Nunam Iqua,2nd Class City,1974,1974,,1,18.1,,,,,,{9E739177-0E1D-4131-A1AD-63F6A6F5E677},46868567.07291708,27384.260423700045
