BND_ID,BND_TYPE,BND_NAME,BND_NAME_ABBR,BND_DESC,BND_CODE,BND_CODE2,BND_YEAR_RECORD,OBJECTID,SHAPE__Area,SHAPE__Length
1832,Cities,APACHE JUNCTION,,,17,,2020,1,130337237.1171875,79298.11964180417
1833,Cities,AVONDALE,,,11,,2020,2,168225355.6640625,199815.07753185014
1834,Cities,BENSON,,,28,,2020,3,148591364.35546875,127745.44157350391
1835,Cities,BISBEE,,,29,,2020,4,17838085.00390625,66531.02486267846
1836,Cities,BUCKEYE,,,3,,2020,5,1458702597.9453125,1425061.0246844145
1837,Cities,BULLHEAD CITY,,,30,,2020,6,230987174.57421875,94148.66771388902
1838,Cities,CAMP VERDE,,,31,,2020,7,161764524.453125,89511.37491617133
1839,Cities,CAREFREE,,,20,,2020,8,33139927.390625,39343.73080835717
1840,Cities,CASA GRANDE,,,32,,2020,9,405738808.0234375,272271.2959343163
1841,Cities,CAVE CREEK,,,25,,2020,10,141621014.71875,61850.549152178566
1842,Cities,CHANDLER,,,13,,2020,11,240971486.1328125,224133.46162989532
1843,Cities,CHINO VALLEY,,,33,,2020,12,240304959.46875,98885.00406425592
1844,Cities,CLARKDALE,,,34,,2020,13,39488470.11328125,41522.031973713
1845,Cities,CLIFTON,,,35,,2020,14,54918403.53125,41169.84455567538
1846,Cities,COLORADO CITY,,,36,,2020,15,35957891.9296875,33759.14845609913
1847,Cities,COOLIDGE,,,37,,2020,16,211486548.94140625,200114.7014821678
1848,Cities,COTTONWOOD,,,38,,2020,17,64415238.625,87633.62608252991
1849,Cities,DEWEY HUMBOLDT,,,89,,2020,18,71411937.02734375,47666.040502684424
1850,Cities,DOUGLAS,,,39,,2020,19,35251088.4296875,62517.80425275594
1851,Cities,DUNCAN,,,40,,2020,20,9950641.77734375,33381.372463188905
1852,Cities,EAGAR,,,41,,2020,21,42983974.1875,45230.28333217047
1853,Cities,EL MIRAGE,,,22,,2020,22,37368086.46875,37331.93253896328
1854,Cities,ELOY,,,42,,2020,23,414480130.546875,358383.955092318
1855,Cities,FLAGSTAFF,,,26,,2020,24,250191977.5546875,162638.87159349868
1856,Cities,FLORENCE,,,43,,2020,25,229783070.82421875,180312.8336380043
1857,Cities,FOUNTAIN HILLS,,,84,,2020,26,76057222.703125,40699.918663153134
1858,Cities,FREDONIA,,,44,,2020,27,34647451.6640625,31782.236817938876
1859,Cities,GILA BEND,,,23,,2020,28,237334434.3515625,215505.46408596158
1860,Cities,GILBERT,,,9,,2020,29,253193596.19921875,209005.40116577173
1861,Cities,GLENDALE,,,12,,2020,30,221049180.20703125,295129.8041582655
1862,Cities,GLOBE,,,45,,2020,31,67187543.9765625,84864.82575358433
1863,Cities,GOODYEAR,,,4,,2020,32,710399880.1132812,463636.4803917881
1864,Cities,GUADALUPE,,,18,,2020,33,2985619.33984375,8132.359150618226
1865,Cities,HAYDEN,,,46,,2020,34,4661841.66796875,10999.151156228692
1866,Cities,HOLBROOK,,,47,,2020,35,64668269.734375,48116.866166756176
1867,Cities,HUACHUCA CITY,,,48,,2020,36,9673733.43359375,16718.464890914594
