OBJECTID,FIPS,CountyStd,CountyName,StateStd,StateName,Shape__Area,Shape__Length
1,04019,Pima,Pima County,AZ,Arizona,256165043305.5704,2398641.6895911447
2,04027,Yuma,Yuma County,AZ,Arizona,153969408169.24124,1846913.2359674496
3,04013,Maricopa,Maricopa County,AZ,Arizona,257135206947.03235,2680889.4335187227
4,04003,Cochise,Cochise County,AZ,Arizona,173484460454.84207,1676324.10321813
5,04023,Santa Cruz,Santa Cruz County,AZ,Arizona,34518956896.763626,832830.2997939776
6,04021,Pinal,Pinal County,AZ,Arizona,149819543842.5419,1969264.126543849
7,04011,Greenlee,Greenlee County,AZ,Arizona,51568397925.39276,1205230.7288071867
8,04009,Graham,Graham County,AZ,Arizona,129476505110.48633,1834528.7686774412
9,04012,La Paz,La Paz County,AZ,Arizona,125928509644.68933,1927957.3186693736
10,04015,Mohave,Mohave County,AZ,Arizona,375461189051.04333,3547797.531782438
11,04025,Yavapai,Yavapai County,AZ,Arizona,226579556223.75952,2426746.655856184
12,04005,Coconino,Coconino County,AZ,Arizona,520189087764.7556,4172560.4823421068
13,04007,Gila,Gila County,AZ,Arizona,133703281801.93073,2808004.5137145296
14,04017,Navajo,Navajo County,AZ,Arizona,277738255489.9492,3062889.5542880893
15,04001,Apache,Apache County,AZ,Arizona,313067416388.8163,3252516.6010923465
