OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,Shape__Area,Shape__Length
1,SCK,STOCKTON METROPOLITAN AIRPORT,STOCKTON METROPOLITAN,Stockton,San Joaquin,Commercial/Primary,PRIMARY-NON HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02314.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=SCK,10276226.15079032,15098.589992601288
2,UDD,BERMUDA DUNES EXECUTIVE AIRPORT,BERMUDA DUNES,Palm Springs,Riverside,Regional,REGIONAL,Not a NPIAS Facility,02017.1*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=UDD,507751.671591325,5370.3684728516955
3,0O2,BAKER AIRPORT,BAKER,Baker,San Bernardino,Limited Use,LIMITED USE,Not a NPIAS Facility,01286.1*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=0O2,1458117.84562147,5827.2762986872585
4,0O4,CORNING MUNICIPAL AIRPORT,CORNING MUNI,Corning,Tehama,Community,COMMUNITY,General Aviation,01443.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=0O4,620437.791925095,5255.335236414212
5,TRM,JACQUELINE COCHRAN REGIONAL AIRPORT,JACQUELINE COCHRAN REGIONAL,Thermal,Riverside,Regional,REGIONAL-Business/Corporate,General Aviation,02017.2*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=TRM,10829313.791106265,15357.164084800343
6,1C9,FRAZIER LAKE AIRPARK,FRAZIER LAKE AIRPARK,Hollister,San Benito,Community,COMMUNITY,Not a NPIAS Facility,01668.11*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=1C9,984661.657535245,4963.590139715392
7,TVL,LAKE TAHOE AIRPORT,LAKE TAHOE,South Lake Tahoe,El Dorado,Regional,REGIONAL-Business/Corporate,General Aviation,02303.7*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=TVL,2325065.72059571,9648.873180571078
8,1O2,LAMPSON FIELD AIRPORT,LAMPSON FIELD,Lakeport,Lake,Regional,REGIONAL,General Aviation,01743.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=1O2,514331.3898722,4774.126320275915
9,1O3,LODI AIRPORT,LODI,Lodi,San Joaquin,Limited Use,LIMITED USE-Agriculture,Not a NPIAS Facility,01782.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=1O3,1039408.14702195,4925.714518352765
10,1O5,"MONTAGUE-YREKA, ROHRER FIELD",MONTAGUE-YREKA,Montague,Siskiyou,Community,COMMUNITY,Not a NPIAS Facility,01905.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=1O5,827089.12547954,5221.17396741399
11,VCB,NUT TREE AIRPORT,NUT TREE,Vacaville,Solano,Regional,REGIONAL-Business/Corporate,General Aviation,02389.1*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=VCB,1730494.681824755,7330.493593465336
