FID,UNITNAME,GISID,SUBTYPE,UNITNBR,Shape__Area,Shape__Length,GlobalID
8395,Wildwood Canyon,GIS0000001,Park Unit or Property,507,4960731.28125,13601.233514239782,2468fada-9bd3-41ed-8bac-3e590e9a5435
8396,Andrew Molera SP,GIS0000002,Park Unit or Property,491,29316950.984375,28455.626772812007,2ff6f701-017b-4352-9930-5a3e0d67a659
8397,Angel Island SP,GIS0000003,Park Unit or Property,231,4905590.8984375,10835.314613612005,71dfdbac-d1e0-4a9d-9195-d0b7bbb4eb26
8398,Antelope Valley California Poppy Preserve (SNR),GIS0000005,Park Unit or Property,560,10818447.1953125,20859.426680703662,e728c82d-7eee-4e14-9e3c-c931278efda3
8399,Antelope Valley Indian Museum (SHP),GIS0000006,Park Unit or Property,579,2461476.03515625,7931.302795335431,2740387a-6aab-4e91-834d-4d0d71118c5b
8400,Armstrong Redwoods SNR,GIS0000007,Park Unit or Property,208,4718219.18359375,15191.367123695416,1a3ca63b-a24a-4daa-8aba-25f7e1b0e5c5
8401,Arthur B. Ripley Desert Woodland SP,GIS0000008,Park Unit or Property,595,3442025.8984375,12326.368060898862,a3a29e0b-d626-419f-9f78-a18975e3f601
8402,Austin Creek SRA,GIS0000009,Park Unit operated by other entity,245,37800689.78515625,54678.06286853076,b39de0f3-9327-4b29-b8ba-c95261998191
8403,Azalea SNR,GIS0000010,Park Unit or Property,109,250087.60546875,2457.355490862195,8ede7646-27bc-40ef-ab87-01f11e65fcaf
8404,Bale Grist Mill SHP,GIS0000011,Park Unit operated by other entity,251,4936.8125,306.18156235609945,6e877b79-0913-4298-9cda-10bffeb0b98c
8405,Benbow SRA,GIS0000012,Park Unit or Property,123,7868819.669235289,18960.960677731106,6ec09826-18fa-4868-b3bf-ceca46891fc6
8406,Bidwell Mansion SHP,GIS0000016,Park Unit or Property,139,35738.1171875,867.0994180393034,8ff9df4a-1eee-448e-8188-6465829977e0
8407,Bidwell-Sacramento River SP,GIS0000017,Park Unit or Property,163,2019597.70703125,18555.970153442056,0e88a9ee-f796-42a2-838e-e70bd2c3022e
8408,Bodie SHP,GIS0000018,Park Unit or Property,324,6462582.59765625,31981.58928883268,ccfc4338-f03c-47f9-af5d-2d3e4175b048
8409,Bothe-Napa Valley SP,GIS0000020,Park Unit operated by other entity,240,12625140.5390625,37910.648376522644,8d206a82-b5e7-4424-b7fb-3a276b78db2e
8410,Brannan Island SRA,GIS0000021,Park Unit operated by other entity,314,2169050.91015625,11235.075797327256,b4f83a81-9b67-4eca-a40c-32667a48855f
8411,Burleigh H. Murray Ranch,GIS0000022,Park Unit or Property,285,8518098.171875,19368.3699273848,4bef344d-7e7f-40f1-b23d-123210de50ba
8412,Burton Creek SP,GIS0000023,Park Unit or Property,348,12948965.46875,16739.580194196893,8ff9919f-ad01-47e0-bd2d-fa48836a489f
8413,Calaveras Big Trees SP,GIS0000024,Park Unit or Property,306,42630264.09375,42186.46288292705,13004073-ba90-45f7-8ebf-b0468566b928
8414,Carmel River SB,GIS0000026,Park Unit or Property,437,1879674.18359375,12505.223956169764,9f6d8ab6-d8d4-45f0-9b62-29cef536fdf4
8415,Carpinteria SB,GIS0000028,Park Unit or Property,514,367600.49609375,5384.871384461682,1b0cc963-ae14-42e6-84ac-04bf9707b692
8416,Caswell Memorial SP,GIS0000031,Park Unit or Property,316,1811987.69921875,14277.468714270752,4d033042-e3a3-4e44-a7af-483ab3512497
8417,Cayucos SB,GIS0000032,Park Unit operated by other entity,452,96776.83092671633,2132.0424733008376,5f06fe49-d389-4111-9d74-1641868c57c8
8418,China Camp SP,GIS0000033,Park Unit operated by other entity,202,9982676.78125,24133.311054901053,60a0b173-bffe-449b-838d-aa0a328c6e19
8419,Chumash Painted Cave SHP,GIS0000035,Park Unit or Property,525,46924.52734375,1512.2026256312715,9d967d81-c4c6-49d7-a037-4f13a117baf3
8420,Clay Pit SVRA,GIS0000036,Park Unit or Property,155,1497217.56640625,5213.661524940219,7ba4d4ee-a8b0-44e1-83ad-8128395a8e76
8421,Colusa-Sacramento River SRA,GIS0000038,Park Unit operated by other entity,140,2408495.6953125,10703.378849983505,8f379bfb-b6b5-4b5f-baa8-6c19b927caab
8422,Corona del Mar SB,GIS0000039,Park Unit operated by other entity,532,218057.01171875,4844.633220145073,7e9a60f0-2ab1-4028-aa47-df03410c1a3d
8423,Crystal Cove SP,GIS0000040,Park Unit or Property,594,23839422.34765625,40788.417305368246,96f0c6c3-2028-4786-8bc6-714cf65a7f50
8424,Cuyamaca Rancho SP,GIS0000041,Park Unit or Property,618,142511355.84375,86084.01151690689,a3d4973d-2a20-47bf-affd-b797a3e02b33
8425,D.L. Bliss SP,GIS0000042,Park Unit or Property,303,10426775.890625,17803.172186357766,0fd65e8b-7a33-4261-9ad3-b374b85b3351
8426,Del Norte Coast Redwoods SP,GIS0000043,Park Unit or Property,103,227772347.796875,105758.4612293473,3d4f865c-c80d-4f74-92e3-6d4b69d3622e
8427,Dockweiler SB,GIS0000045,Park Unit operated by other entity,541,1802714.828125,17160.313420773877,7ddb092a-a709-4763-9d66-8b698387c182
8428,Doheny SB,GIS0000046,Park Unit or Property,610,1681514.671875,6267.308055736009,7b105b71-c853-484c-8fec-f0dadc7c9e32
8429,Donner Memorial SP,GIS0000047,Park Unit or Property,301,24124532.69921875,86066.08823893717,220dd6e6-83f3-4bee-b0c3-dfa6de32d141
8430,Emerald Bay SP,GIS0000049,Park Unit or Property,313,8996598.0390625,13211.955136002924,65e4f97a-e289-4bc9-add2-0ebd23411d9d
8431,Emma Wood SB,GIS0000050,Park Unit or Property,530,732675.5,17555.704580225614,d6827408-24c2-4d11-a8fc-0a4b8be155c7
8432,Empire Mine SHP,GIS0000051,Park Unit or Property,383,5602733.08984375,21195.927445618407,3e4d9e47-82b4-45eb-baae-15cc03bb8f6a
8433,Folsom Powerhouse SHP,GIS0000052,Park Unit or Property,370,156595.50697422028,3042.5125176086153,154d78a1-f67f-401a-bc7b-620d1b2ffb9e
8434,Fort Ross SHP,GIS0000054,Park Unit or Property,207,22331086.63671875,42015.63130128959,3c6b8bf4-0441-4dc9-852b-a09ae4b248e2
8435,Fort Tejon SHP,GIS0000055,Park Unit or Property,351,3914543.9479293823,9230.71608292047,54f9a7dd-51ef-49e9-ae64-a54c8070f2f5
8436,Franks Tract SRA,GIS0000056,Park Unit or Property,329,23454745.0078125,30384.946927440353,138b52a3-4ba1-431c-b5d9-3d0fdc0e7a0d
