CATEGORIES_OF_SERVICE,ORGANIZATION,FULL_ADDRESS,WEBSITE,EMAIL,PHONE,SERVICE_AVAILABLE_TO,ADDITIONAL_SERVICES_MAYINCLUDE,DESCRIPTION_OF_SERVICE,ZIPCODE,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,SE_ANNO_CAD_DATA,OBJECTID
Metro Access and Sponsored Transportation,Department of For-Hire Vehicles- Transport DC,"2235 Shannon Place SE Washington, DC 20020",https://dfhv.dc.gov/service/transport-dc,TransportDC@dc.gov,  (844) 322-7732,,Fees or additional restrictions may apply," Alternative Transportation, Taxicab Rides, Affordable transportation",20020,2235 SHANNON PLACE SE,400750.47,132979.15,38.86463139,-76.99135272,Ward 8,7503,20020,49693,,78727
Metro Access and Sponsored Transportation,Seabury Resources for Aging- Connector Card Program,"6031 Kansas Avenue NW Washington, DC 20011",https://www.seaburyresources.org/transportation,info@seaburyresources.org,202-844-3000.,,No Cost,Metro Access and Sponsored Transportation,20011,6031 KANSAS AVENUE NW,399192.54,143905.69,38.96306127,-77.00931679,Ward 4,9505,20011,259606,,78728
Metro Access and Sponsored Transportation,Seabury Resources for Aging- Seabury Connector,"6031 Kansas Avenue NW Washington, DC 20011",https://www.seaburyresources.org/transportation,info@seaburyresources.org,202-715-7649,,No Cost,Metro Access and Sponsored Transportation,20011,6031 KANSAS AVENUE NW,399192.54,143905.69,38.96306127,-77.00931679,Ward 4,9505,20011,259606,,78729
Metro Access and Sponsored Transportation,Washington Metropolitan Area Transit Authority- MetroAccess Paratransit,"600 5th Street, NW Washington, DC 20001",https://www.wmata.com/service/accessibility/metro-access/index.cfm,,301-562-5360,,No Cost,"Shared-ride, Door-to-door, Paratransit service",20001,600 5TH STREET NW,398310.86,136665.35,38.89783714,-77.01947214,Ward 2,5800,20001,238950,,78730
 Private Ride Services ,Capitol Hill Village- Capitol Hill Village,"725 8th Street SE, 2nd floor Washington, DC 20003",https://capitolhillvillage.org/membership/,info@capitolhillvillage.org,202-543-1778,,Fees or additional restrictions may apply,"Resources and Referrals, Short Term Case Management Services, Ongoing Support, Counseling and Case Management, Managing Mental or Chronic Illness",20003,725 8TH STREET SE,400406.58,134728.12,38.88038704,-76.99531416,Ward 6,7000,20003,151131,,78731
 Private Ride Services ,Cleveland & Woodley Park Village- Cleveland & Woodley Park Village,,https://caringgivers.com/services/dementia-and-alzheimers-care/,,202-379-6547,,Fees or additional restrictions may apply,"Dementia, Memory loss, Alzheimer, Cognitive decline, Paranioa, Stress, Nutritian, Hygiene, Insomnia, Private rides",20008,3601 CONNECTICUT AVENUE NW,394941.98,141118.01,38.93793523,-77.05834086,Ward 3,1302,20008,219290,,78732
 Private Ride Services ,DC Waterfront Village- DC Waterfront Village,"800 Maine Ave SW, Suite 200 Washington, DC 20024",https://www.dcwaterfrontvillage.org/,info@dcwaterfrontvillage.org,202-656-1834,,Fees or additional restrictions may apply,"Light Homecare or Yardwork, Private Ride Service, Connection and Referral, Social Clubs, Social Networking / Online Community, Art and Music Programs, please ask about other services",20024,800 MAINE AVENUE SW,397862.94,134657.38,38.87974728,-77.02462945,Ward 6,10200,20024,302922,,78733
 Private Ride Services ,DC Yellow Cab - Senior MedExpress,"1636 Bladensburg Road NE Washington, DC 20002",https://dacl.dc.gov/service/transportation,,202-724-5626,,No Cost,Private ride,20002,1636 BLADENSBURG ROAD NE,402016.57,138293.6,38.9125043,-76.97674852,Ward 5,8804,20002,58756,,78734
 Private Ride Services ,Dupont Circle Village- Dupont Circle Village,"2121 Decatur Place NW Washington, DC 20008",https://dcv.clubexpress.com/,admin@dupontcirclevillage.net,202-436-5252,,Fees or additional restrictions may apply,"Light Homecare, Yardwork, Care Management, Social Work, Daily Check-in Calls, Private Ride Service,  Referral, Social Clubs, Social Networking / Online Community, Art, Music, Programs",20008,2121 DECATUR PLACE NW,395838.92,138401.28,38.91346678,-77.04797879,Ward 2,4100,20008,302040,,78735
 Private Ride Services ,East Rock Creek Village- East Rock Creek Village,"7707 13th Street NW Washington, DC 20012",https://www.eastrockcreekvillage.org/,info@eastrockcreekvillage.org,202-656-7322,,Fees or additional restrictions may apply,"
Home-based Services, Transportation, Grocery Shopping, Minor Household Repairs, Health, Wellness and Fitness activities, Technology Assistance, Case Management ",20012,7707 13TH STREET NW,397453.2,146210.4,38.98381964,-77.02939454,Ward 4,1600,20012,253607,,78736
 Private Ride Services ,Foggy Bottom West End Village- Foggy Bottom West End Village,"2430 K Street NW Washington, DC 20037",https://www.fbwevillage.org/,dsnyder@fbwevillage.org,202-333-1327,,Fees or additional restrictions may apply,"Transportation , In-Home Assistance, Technology & Technical Support, Convenience Services,  Home Care Assistance, Medicare-certified Home Care",20037,2430 K STREET NW,395431.75,137158.01,38.90226495,-77.05266534,Ward 2,5600,20037,295850,,79361
 Private Ride Services ,Georgetown Home Care- Errands and Transportation,"3301 New Mexico Avenue NW #214 Washington, DC 20016",https://www.georgetownhomecare.com/services/senior-transportation-services/,,202-333-3400,,Fees or additional restrictions may apply,"Private Agencies, Personal Care Services, In-Home Service, Respite Care, Medication Reminders",20016,3301 NEW MEXICO AVENUE NW,392620.16,140643.75,38.93364619,-77.08511638,Ward 3,801,20016,223997,,79362
 Private Ride Services ,Georgetown Village- Georgetown Village,"1680 Wisconsin Avenue NW Washington, DC 20007",https://www.georgetown-village.org/,lynn@georgetown-village.org,202-999-8988,,Fees or additional restrictions may apply,"Private Agencies, Personal Care Services, In-Home Service, Respite Care, Medication Reminders",20007,1680 WISCONSIN AVENUE NW,394226.33,138346.44,38.91296365,-77.06657209,Ward 2,202,20007,273432,,79363
 Private Ride Services ,Home Instead Senior Care- Alzheimer's and Dementia Home Care and Respite Care,"1441 L Street NW, Suite 1102 Washington, DC 20005",https://www.homeinstead.com/197/home-care-services,,301-588-9710,,Fees or additional restrictions may apply,"Personal Care, Alzheimer’s Care, Hospice Support, Chronic Illness Care, Home Helper, Transportation, Companionship",20005,1441 L STREET NW,397071.25,137344.22,38.90394939,-77.03376506,Ward 2,10100,20005,240245,,79364
