UNIQUE_ID,HOTLINK,TRANSPARENT,PROJ_NO,NAME,PROJ_TYPE,STATUS,PROJ_MGR,CONSULTANT,TASK_ORD_NO,LOCATION_NAME,MAIN_ST,CROSS_ST,ST_RANGE_FROM,ST_RANGE_TO,FIRST_WARD,SECOND_WARD,START_DATE,END_DATE,TOT_BUDGET,COMMENTS_NAME,RECORD_LAST_MODIFIED,SPECIAL_NOTE,STATUS_021805,GIS_ID,SHAPE.LEN,SHAPE.AREA,SE_ANNO_CAD_DATA,OBJECTID,GLOBALID,CREATED,EDITED
,,,,Ward 4 'Flower Streets' Traffic Calming Study,Traffic Calming Study,Study Completed,,,,,,,,,,,,,,,,,Ongoing,TranspStudyArea_2,0,0,,1,{65DFA40C-D779-493D-BFA9-F63498D65FAB},,
,,,,14th Street Traffic Calming Study,Traffic Calming Study,Study Completed,,,,,,,,,,,,,,,,,Study Completed,TranspStudyArea_3,0,0,,2,{278F01CB-ECE6-4284-8A28-98B13A577C0B},,
,,,,Upper Georgia Avenue Parking Demand Study,Transportation Study,Study Completed,,,,,,,,,,,,,,,,,Ongoing,TranspStudyArea_4,0,0,,3,{BC156CE8-1D8E-4BB3-BFA5-0A5DC4874753},,
4001.0,takoma,40,,Takoma TS,Transportation Study,Study Completed,Damon Harvey,"DMJM+HARRIS, Inc (AE Services)",1.0,"Eastern Ave NW, Georgia Ave NW, Peabody St NW, Eastern Ave NE, Walnut Ave, Westmoreland Ave, Carroll",,,,,4.0,,1031889600000,1046494800000,319420.0,Abi Lerner is the DMJM+HARRIS Project Coordinator. This is an area wide Transportation Study.,1043775996000,,Study Completed,TranspStudyArea_5,0,0,,4,{010EE967-A066-4000-8311-A6B09930AEA1},,
,,,,Metropolitan Branch Trail Study,Bicycle Study,Metropolitan Branch Trail Study,,,,,,,,,,,,,,,,,Metropolitan Branch Trail Study,TranspStudyArea_6,0,0,,5,{CAFCD3E4-BD43-4825-A700-9084A1786CDC},,
,,,,Holly Street Traffic Calming Study,Traffic Calming Study,Study Completed,,,,,,,,,,,,,,,,,Study Completed,TranspStudyArea_7,0,0,,6,{37E7CF1A-0310-4E66-BE74-7A6069381172},,
,,,,Rittenhouse & Tennyson St Traffic Calming Studies,Traffic Calming Study,Study Completed,,,,,,,,,,,,,,,,,Study Completed,TranspStudyArea_8,0,0,,7,{2CE84BE9-37D4-4809-AC1A-E43361851F3E},,
3000.1,,40,,Upper Connecticut Ave TS,Transportation Study,Proposed,Colleen Smith,,,,,,,,3.0,,,,,,1044479490000,,Proposed,TranspStudyArea_9,0,0,,8,{DABE4B61-74B1-477F-AEDF-2CA16A19E15C},,
3002.0,frienidship heights,40,,Friendship Heights TS,Transportation Study,Study Completed,Colleen Smith,Louis Berger,,"Western Ave, 41st St, Fessenden St, River Rd",,,,,3.0,,1033444800000,1044075600000,900000.0,Currently negotiating with contractor. (Louis Berger). Funding Source: ED0-01,1043786592000,,Study Completed,TranspStudyArea_10,0,0,,9,{6C2616FF-514F-4A9F-8D71-9BB589C3813B},,
,,,,McKinley Street Traffic Calming Study,Traffic Calming Study,Study Completed,,,,,,,,,,,,,,,,,Study Completed,TranspStudyArea_11,0,0,,10,{ACDA4EA1-ACFC-446E-9EF0-D4DA9457BD61},,
