st_length(shape),objectid,type
21457.713839688662,1,Rift-Zone Axis
66071.68888592218,2,Inferred Caldera Boundary
14188.865518418708,3,Rift-Zone Axis
30767.213135466467,4,Inferred Caldera Boundary
15172.527874248944,5,Rift-Zone Axis
14020.258560962859,6,Rift-Zone Axis
12966.546276578156,7,Rift-Zone Axis
45144.13396838107,8,Inferred Caldera Boundary
10914.892111265806,9,Rift-Zone Axis
35559.85410661598,10,Rift-Zone Axis
10749.587189994092,11,Rift-Zone Axis
29329.12833464208,12,Probability of High Temperature (25%)
19187.152739441342,13,Rift-Zone Axis
13662.767451366068,14,Inferred Caldera Boundary
26538.46239994902,15,Rift-Zone Axis
11891.040534035988,16,Inferred Caldera Boundary
27524.23355866918,17,Rift-Zone Axis
11912.465305741096,18,Rift-Zone Axis
27385.803118224037,19,Rift-Zone Axis
38406.900629820586,20,Rift-Zone Axis
13855.642409245462,21,Inferred Caldera Boundary
54210.38947670126,22,Rift-Zone Axis
34687.50805888117,23,Rift-Zone Axis
27822.233384890613,24,Rift-Zone Axis
15964.743895667903,25,Inferred Caldera Boundary
34105.97477849496,26,Rift-Zone Axis
50756.11977872333,27,Rift-Zone Axis
24171.968096193923,28,Rift-Zone Axis
22187.523993677016,29,Rift-Zone Axis
16237.591440041597,30,Probability of High Temperature (25%)
10843.043181359753,31,Probability of High Temperature (35%)
42083.554508522204,32,Probability of High Temperature (25%)
38410.81441151292,33,Probability of High Temperature (35%)
90539.17120663606,34,Probability of High Temperature (25%)
148840.2589364699,35,Probability of High Temperature (95%)
74820.6047673184,36,Probability of High Temperature (25%)
45570.84489157986,37,Probability of High Temperature (25%)
41294.68598416556,38,Probability of High Temperature (35%)
11820.774814759438,39,Inferred Caldera Boundary
15606.486638871054,40,Rift-Zone Axis
6794.34095323291,41,Rift-Zone Axis
10377.61631610246,42,Rift-Zone Axis
23238.693915845375,43,Inferred Caldera Boundary
21828.692876897963,44,Rift-Zone Axis
19460.550256932336,45,Rift-Zone Axis
24588.535561701385,46,Rift-Zone Axis
36993.955279695736,47,Inferred Caldera Boundary
9137.380075714293,48,Rift-Zone Axis
16872.617342272653,49,Rift-Zone Axis
23903.82505845316,50,Rift-Zone Axis
635.454080995516,51,Probability of High Temperature (25%)
