,· Access Indiana,· Procurement Section,· Vendor Handbook,· Vendor Registration,· INDOT Homepage
"Bid Tabulations
        
	
		
			Description",Buyer Name,Bid Number,Award Date
Stamark Removable Tape,Fischer,000393992A,08/19/2026
"Minimum 19,000 Pound Excavator",Walker,800-27-031,08/19/2026
"Minimum 19,000 Pound Excavator",Walker,800-27-031,08/18/2026
Blank Aluminum Sheets,Fischer,800-27-027,08/12/2026
Conveyor Floor Cover,Vacant,0000393907,08/10/2026
Fence Repair Materials,Trawick,0000393767,08/07/2026
Quantity Purchase Award (QPA) Agreement ) for System Development and Implementation Partner - Electronic Permitting System,Scott,800-27-001,08/07/2026
Parts for Bomag Roller,Hodge,0000393738,08/05/2026
Parts for Paint Truck - Laporte,Hodge,0000392754,08/04/2026
5500 Gallon Brine Tanker - Greenfield,Hodge,800-27-025,07/31/2026
Shipping Container,Walker,0000393094,07/23/2026
Quantity Purchase Award (QPA) Agreement for De-Icer with Corrosion Inhibitor,Fischer,800-27-016,07/17/2026
Quantity Purchase Award (QPA) Agreement for De-Icer with Sugar Beet Molasses,Fischer,800-27-015,07/14/2026
Quantity Purchase Award (QPA) Agreement for Animal Carcass Removal for Tipton Sub-District,Walker,800-27-011,07/09/2026
Quantity Purchase Award (QPA) Agreement for Property Management at Centerville Welcome Center,Walker,800-27-002,07/08/2026
Quantity Purchase Award (QPA) Agreement - Chemicals & Cleaner for Road Maintenance Equipment,Hodge,800-27-012,07/01/2026
Quantity Purchase Award (QPA) Agreement Vehicle Equipment Emergency Lighting,Hodge,800-27-007,06/29/2026
Quantity Purchase Award (QPA) Agreement for HVAC Maintenance at ITS Shelter Locations,Walker,800-27-010,06/25/2026
"Quantity Purchase Award (QPA) Agreement -12Ft Front Mount, Hydraulic, Reversible Tripping Snowplows",Hodge,800-27-013,06/22/2026
Quantity Purchase Award (QPA) Agreement for Epoxy Materials for Bridge Decks,Hodge,800-26-79A,06/09/2026
"Quantity Purchase Award (QPA) Agreement for Lane Separator Systems, Flexible Delineator Posts, and Accessories",Scott,800-26-105,06/08/2026
Quantity Purchase Award (QPA) Agreement for Steel Square Sign Posts,Scott,800-26-104,06/03/2026
