letting_date,contract_id,proposal_count
7/23/2026,26-1129,11
7/23/2026,26-1130,11
7/23/2026,26-1512,11
7/23/2026,26-2905,11
7/23/2026,26-2947,11
7/23/2026,26-4104,11
7/23/2026,26-4532,11
7/23/2026,26-5415,11
8/20/2026,26-1515,21
8/20/2026,26-1517,21
8/20/2026,26-2040,21
8/20/2026,26-2072,21
8/20/2026,26-2086,21
8/20/2026,26-2126,21
8/20/2026,26-2203,21
8/20/2026,26-2223,21
8/20/2026,26-2233,21
8/20/2026,26-2901,21
8/20/2026,26-2902,21
8/20/2026,26-2948,21
8/20/2026,26-3016,21
8/20/2026,26-3017,21
8/20/2026,26-3020,21
8/20/2026,26-3027,21
8/20/2026,26-4127,21
8/20/2026,26-5416,21
9/3/2026,26-3037,1
