OBJECTID,COUNTY_NAME,ROAD_NAME,OWNERSHIP
558816,WASHINGTON,COOL HOLLOW RD,COUNTY
558831,WASHINGTON,CHARLTON CT,COUNTY
559105,WASHINGTON,PALMWOOD CIR,COUNTY
559301,WASHINGTON,SHARON DR,COUNTY
559398,WASHINGTON,ISRAEL CREEK CT,COUNTY
559448,WASHINGTON,FINDLAY MILL LA,COUNTY
559577,WASHINGTON,FOUNTAIN HEAD RD,COUNTY
559582,WASHINGTON,SWORD RD,COUNTY
559646,WASHINGTON,NO NAME,COUNTY
559673,WASHINGTON,SOVEREIGN TERR,COUNTY
559697,WASHINGTON,OAK TREE CIR,COUNTY
559800,WASHINGTON,WESTMINSTER CT,COUNTY
559835,WASHINGTON,WOODBURN CT,COUNTY
559849,WASHINGTON,TURNERS LA,COUNTY
559864,WASHINGTON,WHITTIER HEIGHTS,COUNTY
559907,WASHINGTON,MCCLELLAN AVE,COUNTY
559930,WASHINGTON,GRAND OAK DR,COUNTY
559960,WASHINGTON,BIG POOL RD,COUNTY
560020,WASHINGTON,WASTLER AVE,COUNTY
560031,WASHINGTON,CHERRY TREE DR,COUNTY
560042,WASHINGTON,RASPBERRY RD,COUNTY
560133,WASHINGTON,GLENSIDE AVE,COUNTY
560195,WASHINGTON,REIDTOWN RD,COUNTY
560257,WASHINGTON,GOVERNOR LANE BLVD,COUNTY
560264,WASHINGTON,CHERRY HILL DR,COUNTY
560325,WASHINGTON,ROXBURY RD,COUNTY
560368,WASHINGTON,MATTLEY DR,COUNTY
560386,WASHINGTON,HOSTA DR,COUNTY
560391,WASHINGTON,MEADE CT,COUNTY
560419,WASHINGTON,COOL HOLLOW WAY,COUNTY
560537,WASHINGTON,HOMER DR,COUNTY
560593,WASHINGTON,WASHINGTON ST,COUNTY
560594,WASHINGTON,WARNER HOLLOW RD,COUNTY
560735,WASHINGTON,NURSERY RD,COUNTY
560764,WASHINGTON,ST MARYS CT,COUNTY
560781,WASHINGTON,WANETA DR,COUNTY
560785,WASHINGTON,THISTLE CT,COUNTY
560985,WASHINGTON,IROQUOIS AVE,COUNTY
561053,WASHINGTON,CEDAR RIDGE RD,COUNTY
561068,WASHINGTON,SCENIC VIEW CT,COUNTY
561240,WASHINGTON,FAHRNEYS CHURCH RD,COUNTY
561434,WASHINGTON,HAVEN HILL DR,COUNTY
561464,WASHINGTON,BREEZY ACRES RD,COUNTY
561493,WASHINGTON,EASTVIEW DR,COUNTY
561535,WASHINGTON,EVELYN AVE,COUNTY
561596,WASHINGTON,BURNSIDE AVE,COUNTY
