OBJECTID,FIPSCode,Name,FeatureID,MapLayout,FIPSNum,Label,Type,CntyCode,Peninsula,MGFVersion,Shape__Area,Shape__Length
1,001,Alcona,51931f35-ce9a-491b-b699-49036d732254,Landscape,1,Alcona County,County,1,Lower,V25,4639953091.406006,318515.6976080659
2,003,Alger,8c7dd4c5-6ac6-4734-842a-9435187285a1,Portrait,3,Alger County,County,3,Upper,V25,13089550277.049438,519275.7563727031
3,005,Allegan,174ea398-4ee3-4ab0-ac6e-6e91d33a682b,Landscape,5,Allegan County,County,5,Lower,V25,4739586727.897507,324494.6932462887
4,007,Alpena,ee696d1a-c271-4a50-90f1-96c683eebd97,Landscape,7,Alpena County,County,7,Lower,V25,4393881509.120422,305295.18359826825
5,009,Antrim,a349ee7e-448e-40bb-8bbb-cdf44a483d6e,Landscape,9,Antrim County,County,9,Lower,V25,1578515911.4192047,187713.99472855064
6,011,Arenac,96f539f7-8401-48ee-a9c5-72f95851b392,Landscape,11,Arenac County,County,11,Lower,V25,1759835395.7749023,201180.45774953617
7,013,Baraga,1ddc278c-6efc-4f1d-8fdb-6da96c661b52,Portrait,13,Baraga County,County,13,Upper,V25,2764853022.6081543,234401.60247266167
8,015,Barry,71402469-8d31-4d9c-8e75-0764ae52e0d0,Landscape,15,Barry County,County,15,Lower,V25,1493487249.8090744,154680.72150691703
9,017,Bay,f9503d12-ff64-4fb6-833c-88dcfb5936a9,Portrait,17,Bay County,County,17,Lower,V25,1631418229.550949,183056.507064535
10,019,Benzie,505e7133-78b5-4e41-acc7-28a3d7e986d9,Landscape,19,Benzie County,County,19,Lower,V25,2218343211.3796387,212968.33165725888
11,021,Berrien,196ea7a6-5bf4-4902-bf00-0e19ce5d32bd,Landscape,21,Berrien County,County,21,Lower,V25,4093350781.1234016,260581.45593963598
12,023,Branch,630cb037-4f4d-4b3a-89c2-91e82ad55b95,Landscape,23,Branch County,County,23,Lower,V25,1345130542.519989,146785.4680347964
13,025,Calhoun,87f05253-ceaa-4253-ad21-fbc649dcc676,Landscape,25,Calhoun County,County,25,Lower,V25,1859151701.5658493,173827.31487088086
14,027,Cass,70316598-fbf4-44f4-b2df-aab41c60c02b,Landscape,27,Cass County,County,27,Lower,V25,1316150162.6305542,145621.98073901454
15,029,Charlevoix,2c45b82c-6d66-4301-826e-676571877c9b,Landscape,29,Charlevoix County,County,29,Lower,V25,3588138930.95813,320350.17600927065
16,031,Cheboygan,4579967c-fa65-4fda-a7be-12e0ba426d31,Portrait,31,Cheboygan County,County,31,Lower,V25,2291921317.185913,218357.85843510865
17,033,Chippewa,3ffe9a68-8a1a-4a4c-8a2f-3ece3c276887,Landscape,33,Chippewa County,County,33,Upper,V25,7019288069.443024,548109.8758266289
18,035,Clare,55dc8de2-13e6-4d0c-92c0-2e4db977b839,Landscape,35,Clare County,County,35,Lower,V25,1489090150.2923431,154462.9132405291
19,037,Clinton,0da5e35b-b9c8-4b5a-95a7-6a8cb58d248e,Landscape,37,Clinton County,County,37,Lower,V25,1486924246.5160065,154236.91091306473
20,039,Crawford,c63dd0ce-5e44-46aa-81f6-5facaec34768,Portrait,39,Crawford County,County,39,Lower,V25,1458050618.243454,152986.83358771063
21,041,Delta,0cc3ae45-a981-4e36-a9f9-23cbd2889fbf,Portrait,41,Delta County,County,41,Upper,V25,5153169883.05658,322532.94302987796
22,043,Dickinson,2ac9de9a-b375-4318-abdb-7687709997b5,Portrait,43,Dickinson County,County,43,Upper,V25,2010193047.2351532,202479.75202394754
23,045,Eaton,f33fba0a-7560-4bcf-87a4-5a7ffd88ae15,Landscape,45,Eaton County,County,45,Lower,V25,1499558251.9422913,154809.6920474232
24,047,Emmet,b179ba7f-84b0-4032-bf9b-64e18e759450,Portrait,47,Emmet County,County,47,Lower,V25,2281004299.9917603,201571.08126796078
