OBJECTID,NAME,STATE,LAT,LONG_,MRC,CGI_10mDEM,Shape_Leng,Title,UTM,Shape.STArea(),Shape.STLength()
1,Bear Point,MI,45.250,-87.750,45087-C7,no,47379.6651464,"Bear Point, MI",16N,136121346.50521004,47379.66519003392
2,Black Oak Lake,WI,46.125,-89.250,46089-B3,no,47092.4391464,"Black Oak Lake, WI",16N,134102054.16391772,47092.43901760635
3,Chambers Island NW,WI,45.125,-87.375,45087-B4,no,47419.1239812,"Chambers Island NW, WI",16N,136400161.01563773,47419.12396532117
4,Chaney Lake,MI,46.250,-89.875,46089-C8,yes,47058.5941138,"Chaney Lake, MI",16N,133853841.44653888,47058.59397924857
5,Chappee Rapids,MI,45.125,-87.625,45087-B6,no,47421.5958156,"Chappee Rapids, MI",16N,136414382.0717832,47421.59572111769
6,Faithorn,MI,45.625,-87.750,45087-F7,no,47249.4112404,"Faithorn, MI",16N,135215890.63612467,47249.41126179449
7,Florence East,WI,45.875,-88.125,45088-H2,no,47165.845706,"Florence East, WI",16N,134630338.2635125,47165.84572334289
8,Florence West,WI,45.875,-88.250,45088-H3,no,47167.2064519,"Florence West, WI",16N,134638104.8530957,47167.20639471415
9,Fortune Lakes,MI,46.000,-88.375,46088-A4,no,47124.7075116,"Fortune Lakes, MI",16N,134341020.28090128,47124.70752159516
10,Gaastra,MI,46.000,-88.500,46088-A5,yes,47126.1832559,"Gaastra, MI",16N,134349434.06929335,47126.18331732016
11,Hagerman Lake,MI,46.000,-88.750,46088-A7,yes,47129.4014086,"Hagerman Lake, MI",16N,134367781.308587,47129.401416193796
12,Harris Lake,WI,46.250,-89.750,46089-C7,no,47056.2911588,"Harris Lake, WI",16N,133840743.32886367,47056.29113016952
13,Imp Lake,MI,46.125,-89.000,46089-B1,yes,47088.6485872,"Imp Lake, MI",16N,134080467.62261774,47088.64866793954
14,Iron Mountain,MI,45.750,-88.000,45088-G1,no,47208.2793107,"Iron Mountain, MI",16N,134926905.49579385,47208.2794706864
15,Iron Mountain SW,WI,45.750,-88.125,45088-G2,no,47209.6150376,"Iron Mountain SW, WI",16N,134934543.42146146,47209.61510054254
16,Iron River,MI,46.000,-88.625,46088-A6,yes,47127.7500848,"Iron River, MI",16N,134358369.0082732,47127.75004444471
17,Ironwood,MI,46.375,-90.125,46090-D2,yes,47018.4321281,"Ironwood, MI",15N,133569473.70702907,47018.43217289045
18,North Ironwood,MI,46.500,-90.125,46090-E2,yes,46973.3578939,"North Ironwood, MI",15N,133257058.20528805,46973.357763739106
19,Lake Evelyn,WI,46.250,-90.000,46090-C1,yes,47060.9826255,"Lake Evelyn, WI",15N,133867432.1283464,47060.982779899765
