OBJECTID,FAC_Name,FAC_Label,NJPDES_Num,PI_Number,GlobalID,Shape__Length
1,ATLANTIC CNTY,Atlantic County,NJG0148016,221489,bef9781e-655c-49f8-b2b9-6785c89242f1,779490.911887663
2,BERGEN CNTY DPW,Bergen County,NJG0155535,228986,87f5b120-2233-4a37-b2b9-2074a2fdfd2a,948122.0444821741
3,BURLINGTON CNTY,Burlington County,NJG0150223,222277,f7d9e7dd-e4c6-492b-8451-f7a8228b772c,1153829.9206507243
4,BURLINGTON CNTY BRIDGE COMMISSION,Burlington County Bridge Commission,NJG0148547,221692,0357964c-48ec-4a1f-b407-abf277af1b10,6867.437655292946
5,CAMDEN CNTY,Camden County,NJG0153419,222992,5ea6e907-6102-4f91-adc2-2e3a980e3ca8,828959.7439079775
6,CAPE MAY CNTY,Cape May County,NJG0153869,223120,26a8dfd7-3219-4b85-b2b2-95c91da7bfcf,423313.97947968525
7,CUMBERLAND CNTY DPW,Cumberland County,NJG0155411,228439,3aa3f46e-7d44-4202-9383-be8d79bb2fe3,1114817.0740830495
8,DELAWARE RIVER & BAY AUTHORITY,Delaware River Bay Authority,NJG0155101,225789,a42198da-8a23-417d-b157-5045085537f0,10088.227268205803
9,DELAWARE RIVER JOINT TOLL BRIDGE COMM,Delaware River Toll Bridge Commission,NJG0153052,222834,1eb9c3c5-f6ed-46ab-b8e4-baf0be821ff2,30367.192014215023
10,ESSEX CNTY,Essex County,NJG0153397,222982,dbc0ab50-96d3-4d15-ae8d-fb8d3b766674,510086.74307149084
11,GARDEN STATE PARKWAY,Garden State Parkway,NJG0156485,235697,89d8b4be-0bba-44c3-a64f-0c56adffc3f8,1117107.356156207
12,GLOUCESTER CNTY,Gloucester County,NJG0155373,228000,762ade3d-deed-456e-8beb-40e7e6fef3c0,849165.7396560216
13,HUDSON CNTY DIV OF ROADS & BRIDGES,Hudson County,NJG0154253,223636,f55c1e25-bde7-470a-a7ab-dd4e49ee24c0,123602.35128591751
14,HUNTERDON CNTY,Hunterdon County,NJG0149144,221972,b0f7c411-6159-4ef5-b159-6eca76a5c8bf,523684.11368952034
15,MERCER CNTY,Mercer County,NJG0153753,223077,6277a0bc-bdeb-4fae-b37b-70f6247f2aa2,434579.24287543225
16,MIDDLESEX CNTY DEPT OF HIGHWAYS & BRIDGES,Middlesex County,NJG0155136,226145,d0dce428-a14d-4fc1-83ed-e677d86d8a57,728025.3946697796
17,MONMOUTH CNTY,Monmouth County,NJG0152234,222751,6689e212-c6ae-4b75-bbb7-52ef8e3eb2b6,838383.969348341
18,MORRIS CNTY DPW,Morris County,NJG0153346,222927,26b680b3-6cb5-4405-af95-b1ae755f9bec,625759.3416235518
19,NEW JERSEY TURNPIKE,New Jersey Turnpike,NJG0156485,235697,bcb4224c-9dfe-408b-a5a5-860fcf0de241,1183797.0904016849
20,NJDOT REGION CENTRAL,NJDOT Region Central,NJG0154288,223739,bbb3207c-b907-4627-8533-3223bdb75ce3,3615091.076723537
21,NJDOT REGION NORTH,NJDOT Region North,NJG0154300,223746,bc5518b8-9f7b-4d39-9601-14421e2a4f61,3377260.0197763876
22,NJDOT REGION SOUTH,NJDOT Region South,NJG0154652,224332,df570b0f-6234-467d-bc47-a2cd33fd3412,2799355.118420909
23,OCEAN CNTY,Ocean County,NJG0152382,222780,e314421b-174f-4550-8548-0a74b3badfaa,1409967.1907413504
24,PALISADES INTERSTATE PARK COMMISSION,Palisades Interstate Park Commission,NJG0149136,221969,0316a6df-f6e5-41a1-8a4f-6058db7fcb0c,61322.15153824924
25,PASSAIC COUNTY,Passaic County,NJG0152005,222729,ec14f7eb-d08e-42b7-9611-5664a899d35c,537137.2943033132
26,PORT AUTHORITY OF NY & NJ,Port Authority of New York & New Jersey,NJG0155861,232055,bb6b5bc4-79d4-4d20-badf-b80a02c69373,28527.140996545848
27,DELAWARE RIVER PORT AUTHORITY OF PA & NJ,Port Authority of Pennsylvania and New Jersey,NJG0154270,223638,02b0b276-c965-436a-aa91-607bb8e2e278,18520.000751363215
28,SALEM CNTY,Salem County,NJG0154954,225003,2c9880b5-67ea-4adb-a591-bf0c5213f2d7,746423.2300046101
29,SOMERSET CNTY,Somerset County,NJG0151351,222611,78bffeaf-d794-42c1-9662-2df657a846aa,556447.9545530797
30,SOUTH JERSEY TRANSPORTATION AUTHORITY,South Jersey Transportation Authority,NJG0153729,223060,96cf7b8b-81ed-4047-8b5c-785cb2f68d97,249693.7148306505
31,SUSSEX CNTY,Sussex County,NJG0149730,222158,925db35d-4bb5-4c9a-b9d7-81bedc5d8d70,672799.1239588291
32,UNION CNTY,Union County,NJG0153320,222925,ebf21606-d788-4d89-9201-1fb6ab281661,400234.8402067942
33,WARREN CNTY BOARD OF CHOSEN FREEHOLDERS,Warren County,NJG0152013,222740,e22147c4-f860-4f47-8a70-b55e35c32e51,548524.8718899583
