OBJECTID,BUS_TYPE,BUS_NAME,BUS_ADDRESS,ST_NAME,NBRHD,SUBREGION,MATCH_ADDR,BUS_URL,LON,LAT,GLOBALID
1,Shopping,Another Man's Treasure,195 Montgomery St,Montgomery,Jersey City,Hudson,"195 Montgomery Street, Jersey City, NJ, 07302",https://www.AMTvintage.com,-74.04345477,40.71736298,9e0b1c26-e878-4e65-9dcf-e4d291d54357
2,Shopping,CoolVines,276 Grove St,Grove,Jersey City,Hudson,"276 Grove Street, Jersey City, NJ, 07302",https://powerhouse.coolvines.com/,-74.04398324,40.7173521,dbd23fa6-7c40-4d69-87b4-bfa8e06f29f0
3,Attraction,Departed Soles Brewing,150 Bay St,Bay,Jersey City,Hudson,"150 Bay Street, Jersey City, NJ, 07302",http://departedsoles.com/,-74.03992199999999,40.721030999999996,a14180f9-8c00-4f2b-ad1a-a37898802d4c
4,Food,DOMODOMO,200 Greene St,Greene,Jersey City,Hudson,"200 Greene Street, Jersey City, NJ, 07302",https://www.domodomojc.com/,-74.03444234,40.72017743,81820506-bbf9-4c3e-a86c-c90f60e4d35c
5,Food,Downtown Yogurt,126 Newark Ave,Newark,Jersey City,Hudson,"126 Newark Avenue, Jersey City, NJ, 07302",https://downtownyogurt.com,-74.04304499999999,40.720248,397c695b-0420-43d0-a2e3-8eb0c08a77f1
6,Food,Edward's Steakhouse,239 Marin Blvd,Marin,Jersey City,Hudson,"239 Marin Boulevard, Jersey City, NJ, 07302",https://www.edwardssteakhouse.com,-74.04270379,40.71629675,ccd301a2-ef89-4f6a-b56d-6930e923bcb9
7,Food,Franklin Social,292 Barrow St,Barrow,Jersey City,Hudson,"292 Barrow Street, Jersey City, NJ, 07302",https://franklinsocial.com/,-74.0455245,40.718852999999996,81b60436-2351-4e1b-ba1b-cbe474086c84
8,Food,Grace O'Malleys,140 Newark Ave,Newark,Jersey City,Hudson,"140 Newark Avenue, Jersey City, NJ, 07302",https://www.graceomalleys-jc.com/,-74.043594,40.720563,860e8c42-30cf-4401-93ce-2b17381dd506
9,Shopping,Hazel Baby & Kids,199 Montgomery St,Montgomery,Jersey City,Hudson,"199 Montgomery Street, Jersey City, NJ, 07302",https://www.hazelbaby.com/,-74.04362319,40.71737951,369a6fd4-0016-4ee6-8ae9-77c231f1637c
10,Food,Honshu,95 Greene St,Greene,Jersey City,Hudson,"95 Greene Street, Jersey City, NJ, 07302",http://www.honshulounge.com,-74.0363895,40.715514,badeac48-7e75-46ac-b75d-b02c1333fea9
11,Shopping,Hound About Town,17 McWilliams Pl,McWilliams,Jersey City,Hudson,"McWilliams Place, Jersey City, NJ, 07302",https://www.houndabouttownjc.com/,-74.04399773,40.72768987,9a27e4ad-cab0-4b3e-9e7c-40a003a57436
12,Shopping,Hound About Town,218 Montgomery St,Montgomery,Jersey City,Hudson,"218 Montgomery Street, Jersey City, NJ, 07302",https://www.houndabouttownjc.com/,-74.04435062,40.71770729,64f22b4e-7a8f-4094-8422-de482e657e2f
13,Food,Hudson & Co,3 2nd St,2nd,Jersey City,Hudson,"3 2nd Street, Jersey City, NJ, 07311",https://www.hudsonandconj.com/,-74.0318355,40.720887,b6f5e6f6-3cc8-4c91-a559-355d859822b7
14,Shopping,Kanibal & Co.,197 Montgomery St,Montgomery,Jersey City,Hudson,"197 Montgomery Street, Jersey City, NJ, 07302",https://www.shopkanibal.com/,-74.04353898,40.71737124,17fafd04-d8ca-45d4-92d2-d49523719984
