OBJECTID,MPO,MPO_NAME,Shape__Area,Shape__Length
1,OCTC,Orange County Transportation Council,2169645187.9794707,222952.10310325932
2,DCTC,Dutchess County Transportation Council,2135395648.673609,220682.61158404406
3,BMTS,Binghamton Metropolitan Transportation Study,1777710329.6577883,256443.7009459939
4,ITCTC,Ithaca-Tompkins County Transportation Council,1272450032.8222687,175560.0386726131
5,CRTC,Capital Region Transportation Council,5717150096.720071,396644.3579369482
6,AGFTC,Adirondack/Glens Falls Transportation Council,4702356030.720352,411599.7566913753
7,HOCTC,Herkimer-Oneida Counties Transportation Council,7026041625.253178,490176.7270935944
8,GTC,Genesee Transportation Council,3396671283.3181467,354163.44310719625
9,GBNRTC,Greater Buffalo Niagara Regional Transportation Council,4082100477.7654605,432773.9637437481
10,NYMTC,New York Metropolitan Transportation Council,6292617774.383264,2910297.589428765
11,SMTC,Syracuse Metropolitan Transportation Council,2606393245.364352,261618.18038141646
12,ECTC,Elmira-Chemung Transportation Council,1067637418.5631816,154899.76244809656
13,UCTC,Ulster County Transportation Council,3006465396.1903906,277395.32150495425
14,WJCTC,Watertown-Jefferson County Transportation Council,324196900.53877556,143814.91007622395
