OBJECTID,HUC,NAME,Shape__Area,Shape__Length
1,15010003,Kanab,9574523200.835938,538440.8826058245
2,16010101,Upper Bear,9264058951.796875,785043.4813552576
3,16010203,Little Bear-Logan,4107191005.765625,387255.8476481596
4,16020310,Great Salt Lake,7995480569.277344,889316.2013565085
5,14070005,Escalante,8398017367.953125,511542.6577902555
6,15010013,Meadow Valley Wash,10492363501.210938,798672.8134815085
7,16020302,Pine Valley,3097454518.6171875,287754.20706809044
8,14070007,Paria,5809667485.707031,484523.194709466
9,14060006,Willow,4160744166.5625,410142.18195103825
10,17040210,Raft,6963106409.0390625,502971.2441192001
11,16030008,Lower Beaver,3437215349.9257812,340966.9090467067
12,16020301,Hamlin-Snake Valleys,13367693680.480469,835544.2409933809
13,16020201,Utah Lake,5961337455.199219,601989.7353061103
14,16030009,Sevier Lake,5958320046.980469,560297.4151056856
15,14070001,Upper Lake Powell,11866473533.875,703060.6250815868
16,16030002,East Fork Sevier,5198094216.808594,634120.5796312705
17,14040106,Upper Green-Flaming Gorge Reservoir,11374874314.042969,754313.3912510624
18,14060008,Lower Green,7967417383.078125,639252.2131296871
19,16020304,Rush-Tooele Valleys,5395628311.925781,462106.3777300029
20,16020309,Curlew Valley,10567278333.222656,726058.1993740186
21,16020202,Spanish Fork,4257407421.1640625,368796.7481514391
22,14060004,Strawberry,5169196325.574219,374169.5244056903
23,14070002,Muddy,6605511316.46875,479130.0424845643
24,16010102,Central Bear,3877059099.0585938,401226.0568380883
25,14070004,Dirty Devil,3545273459.9804688,352764.4824020386
26,14040108,Muddy,4453407324.1171875,465925.10656044603
27,14060003,Duchesne,11989587288.230469,743147.0860855731
28,14080203,Montezuma,4840449315.1953125,405487.0506936455
29,16030005,Lower Sevier,17831098199.246094,957602.5681050677
30,14030001,Westwater Canyon,6266595892.7890625,457314.9734612004
31,15010008,Upper Virgin,8951228151.066406,634735.6842815067
32,15010009,Fort Pearce Wash,6751045388.484375,492763.0808532288
33,14060005,Lower Green-Desolation Canyon,8526465766.746094,595830.0992369698
34,16010202,Middle Bear,6056425968.90625,424840.4905773841
35,14080201,Lower San Juan-Four Corners,8179332475.378906,611471.0074958522
36,16020306,Southern Great Salt Lake Desert,24333390902.45703,959003.7661631174
37,14030004,Lower Dolores,3923954077.03125,343924.58293000504
38,14060009,San Rafael,10455745207.941406,708527.548502312
39,16030003,Middle Sevier,7911217687.824219,659187.0626252356
40,14030002,Upper Dolores,8988743014.152344,717474.3527171101
41,14040107,Blacks Fork,12669725642,917307.6637328062
42,14080204,Chinle,16429887655.167969,960657.4778464799
43,16020308,Northern Great Salt Lake Desert,20876057793.820312,991121.4489885166
44,16020101,Upper Weber,5287920936.003906,492978.16347525443
45,16020102,Lower Weber,6038500438.53125,512567.5889754403
46,16030001,Upper Sevier,5004478694.113281,446606.8322634059
47,16030006,Escalante Desert,13694215035.160156,780436.1739918265
48,14070003,Fremont,8336940032.308594,568962.7833989419
49,16020303,Tule Valley,4117576942.03125,419896.50280554884
50,14030005,Upper Colorado-Kane Springs,9593134696.445312,627036.9990888564
51,14070006,Lower Lake Powell,11950169824.460938,641648.7508178306
52,16020204,Jordan,3667829356.8007812,342341.4629483416
53,16030007,Beaver Bottoms-Upper Beaver,7293807947.3671875,494864.477395974
54,14060007,Price,8230079775.6953125,592388.3851936602
55,14080205,Lower San Juan,9958993462.53125,573845.7463405973
56,15010010,Lower Virgin,8387413823.0859375,586423.3153679508
57,16010204,Lower Bear-Malad,5857301800.214844,618952.1020827262
58,17040211,Goose,5077131530.152344,464312.4081333478
59,14060010,Lower Green-Diamond,7284549958.167969,509355.7492148866
60,14050007,Lower White,12020096781.484375,630694.4942139378
61,16020305,Skull Valley,3645597815.015625,370353.90428772086
62,16010201,Bear Lake,5995293586.0625,573139.9651531061
63,16020203,Provo,3074750626.71875,377592.67471532687
64,16030004,San Pitch,3740821481.8046875,362517.6974109364
65,16020307,"Pilot-Thousand Springs, Nevada, Utah",7068825206.1171875,505097.2624656993
66,14010005,Colorado Headwaters-Plateau,16611597339.773438,805445.8122481336
67,14080202,McElmo,2946634044.109375,301067.3759825772
