OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
1,03,Newton,0,NEWTON,1603152000000,54550,3100,047,2, ,789,815,NWT,1430705,e85ed367-8055-42ef-b38c-5593bd644868,4009108.734375,8948.894827487957
2,12,Eureka,0,EUREKA,,24080,3010,009,2, ,662,657,EUR,1437974,1640b6ac-0d16-4d94-a174-0220ce6c78ac,6387833.85546875,12832.36612660116
3,29,Huntsville,0,HUNTSVILLE,1714608000000,37060,3030,019,4,Huntsville,573,593,HVL,1428949,8a845570-1f07-4031-8e34-823e2992da8a,14333320.914758682,24584.998374753526
4,27,Springdale,0,SPRINGDALE,,71840,3100,023,2,Springdale,514,576,SPD,1432867,f28b885b-560c-4a40-9022-268c73a2363e,18782625.86328125,23966.386567899826
5,23,Grantsville,0,GRANTSVILLE,1644278400000,31120,3010,023,2, ,12617,14417,GRA,1428338,c16bce7d-8e78-46c4-88b7-2a494167a202,183522345.85751247,112936.76197271892
6,18,Bluffdale,0,BLUFFDALE (SL CO),1542240000000,06810,3020,019,4,,17014,19080,BDL,1425844,8da0e063-8244-437f-ba72-973081ae6faf,46710621.67095566,38425.71791060092
7,19,Blanding,0,BLANDING,1716508800000,06370,3010,002,1,Blanding,3394,3229,BLA,1438903,584a19fd-5d6f-47e2-b71b-e4c5c7cb7974,54719927.7265625,69639.6525896717
8,18,Herriman,0,HERRIMAN TOWN,1644192000000,34970,3035,060,1, ,55144,59179,HER,1428675,df004a22-6b45-4c4c-ae73-3c919f699988,103638384.7452855,77262.5743921389
9,12,Levan,0,LEVAN,1332115200000,44650,3020,019,3, ,862,892,LEV,1442564,c58a0ff9-b9d7-4ff1-acc1-0e89ca8e9416,3482854.30859375,8700.356525034887
10,09,Panguitch,1,PANGUITCH,1697155200000,57740,3070,011,4,Panguitch,1725,1785,PAN,1444170,86d9988c-8f46-4821-9c0d-f3462ea35f0d,13458716.48476839,28457.655370857156
11,11,Cedar City,0,CEDAR CITY,1779235200000,11320,3020,003,1,Cedar City,35235,38692,CDC,1426441,25b0ad91-b0f6-4d56-bbec-878430dee6c4,151314001.1015625,149138.53128336798
12,23,Vernon,0,VERNON,1372118400000,80200,3060,050,1, ,256,286,VNN,1446932,cae40a39-500c-4f85-b460-11e37a49ab1f,35736573.640625,31726.46936711227
13,03,Clarkston,0,CLARKSTON,1281571200000,13190,3020,014,3, ,749,763,CLK,1426671,6403724d-e73f-4693-ab3d-8eff6eb3ccbc,4329011.02734375,10943.664366415593
14,18,Taylorsville,0,TAYLORSVILLE CITY,1410739200000,75360,3105,142,4,Taylorsville,60448,57879,TAY,1433206,10f705a2-5e14-4482-9b1f-a72a181145c2,48863547.41015625,38214.22189634848
