letting,n_contracts,url,all_bids_pdf,apparent_bids_pdf
20260113,52,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2026/20260113.aspx,https://wisconsindot.gov/hccidocs/bid-let/2026/20260113/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2026/20260113/apparentbids.pdf
20260210,42,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2026/20260210.aspx,https://wisconsindot.gov/hccidocs/bid-let/2026/20260210/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2026/20260210/apparentbids.pdf
20260310,40,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2026/20260310.aspx,https://wisconsindot.gov/hccidocs/bid-let/2026/20260310/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2026/20260310/apparentbids.pdf
20260414,26,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2026/20260414.aspx,https://wisconsindot.gov/hccidocs/bid-let/2026/20260414/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2026/20260414/apparentbids.pdf
20260512,21,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2026/20260512.aspx,https://wisconsindot.gov/hccidocs/bid-let/2026/20260512/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2026/20260512/20260512_apparentbids.pdf
20260609,3,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2026/20260609.aspx,https://wisconsindot.gov/hccidocs/bid-let/2026/20260609/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2026/20260609/20260609_apparentbids.pdf
20260714,8,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2026/20260714.aspx,https://wisconsindot.gov/hccidocs/bid-let/2026/20260714/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2026/20260714/20260714_apparentbids.pdf
20260811,17,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2026/20260811.aspx,https://wisconsindot.gov/hccidocs/bid-let/2026/20260811/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2026/20260811/20260811_apparentbids.pdf
20260915,30,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2026/20260915.aspx,https://wisconsindot.gov/hccidocs/bid-let/2026/20260915/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2026/20260915/20260915_apparentbids.pdf
20250114,45,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2025/20250114.aspx,https://wisconsindot.gov/hccidocs/bid-let/2025/20250114/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2025/20250114/apparentbids.pdf
20250211,50,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2025/20250211.aspx,https://wisconsindot.gov/hccidocs/bid-let/2025/20250211/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2025/20250211/apparentbids.pdf
20250311,46,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2025/20250311.aspx,https://wisconsindot.gov/hccidocs/bid-let/2025/20250311/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2025/20250311/apparentbids.pdf
20250408,32,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2025/20250408.aspx,https://wisconsindot.gov/hccidocs/bid-let/2025/20250408/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2025/20250408/apparentbids.pdf
20250513,42,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2025/20250513.aspx,https://wisconsindot.gov/hccidocs/bid-let/2025/20250513/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2025/20250513/apparentbids.pdf
20250610,8,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2025/20250610.aspx,https://wisconsindot.gov/hccidocs/bid-let/2025/20250610/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2025/20250610/apparentbids.pdf
20250708,8,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2025/20250708.aspx,https://wisconsindot.gov/hccidocs/bid-let/2025/20250708/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2025/20250708/apparentbids.pdf
20250812,19,https://wisconsindot.gov/Pages/doing-bus/contractors/hcci/bid-let/2025/20250812.aspx,https://wisconsindot.gov/hccidocs/bid-let/2025/20250812/allbids-awd.pdf,https://wisconsindot.gov/hccidocs/bid-let/2025/20250812/apparentbids.pdf
