fy,month,total_obligations,contracts,grants,direct_payments,loans,other
2025,1,18734007697.35,373247393.31,4225349275.7,14136105941.03,-2858394.22,2163481.5300000003
2025,2,16894073706.31,314958229.38,188562331.44,16386890405.47,-1069876.77,4732616.79
2025,3,12993518065.18,564648244.67,979043393.5,11435512127.77,10766005.18,3548294.06
2025,4,31877845120.87,1155523944.47,13542281878.41,17164267918.38,10108027.97,5663351.64
2025,5,14484279091.98,497926600.0,119003247.41,13861648610.91,-968323.18,6668956.84
2025,6,11927248905.96,380679857.35,134883431.21,11397421411.68,2261060.21,12003145.51
2025,7,16836924873.28,356856812.98,606309503.72,15856528164.68,50737.85,17179654.05
2025,8,19236255245.82,335942443.19,293833119.43,18587554668.54,-644790.96,19569805.62
2025,9,12112487877.60,604342917.01,484557655.98,11009416166.24,-523033.94,14694172.31
2025,10,18369331955.17,684200863.75,1364937042.06,16300960766.79,602128.07,18631154.5
2025,11,19323600023.18,589288630.91,507776833.55,18190649518.91,22420472.29,13464567.52
2025,12,14288628095.44,1145961382.61,1298061980.69,11826289365.9,5906630.31,12408735.930000002
